Data;Ultimo;Abertura;Max;Min;Vol;Var(%);
31.07.2020;10.071,73;9.903,83;10.077,90;9.903,67;-;1,76;
30.07.2020;9.897,93;9.972,41;9.983,55;9.819,86;-;-0,77;
29.07.2020;9.975,03;9.847,04;9.989,67;9.796,46;-;1,50;
28.07.2020;9.827,49;9.949,60;10.031,19;9.822,57;-;-1,07;
27.07.2020;9.933,38;9.882,58;10.010,48;9.862,72;-;0,63;
24.07.2020;9.871,68;9.929,44;9.970,24;9.800,92;-;-0,72;
23.07.2020;9.942,97;9.956,23;10.058,64;9.863,06;-;-0,03;
22.07.2020;9.946,15;10.066,09;10.134,20;9.831,97;-;-1,22;
21.07.2020;10.068,77;10.361,51;10.361,51;10.018,94;-;-2,53;
20.07.2020;10.330,38;10.276,18;10.338,42;10.216,95;-;0,52;
17.07.2020;10.277,10;10.139,61;10.292,96;10.114,40;-;1,26;
16.07.2020;10.148,91;10.286,77;10.286,77;10.089,22;-;-1,15;
15.07.2020;10.266,75;10.167,93;10.292,44;10.144,77;-;1,13;
14.07.2020;10.151,66;10.093,63;10.233,01;10.045,76;-;0,60;
13.07.2020;10.090,76;10.141,21;10.323,97;10.090,28;-;0,03;
10.07.2020;10.087,91;9.987,40;10.095,50;9.960,22;-;0,89;
09.07.2020;9.998,82;10.042,80;10.059,02;9.844,31;-;-0,42;
08.07.2020;10.041,49;10.013,51;10.065,08;9.902,73;-;0,04;
07.07.2020;10.037,63;10.080,54;10.080,54;9.918,34;-;-0,41;
06.07.2020;10.078,73;9.896,69;10.078,73;9.851,28;-;1,93;
03.07.2020;9.887,45;9.884,44;9.937,96;9.866,74;-;0,20;
02.07.2020;9.867,72;9.712,46;9.948,45;9.712,12;-;1,24;
01.07.2020;9.746,70;9.915,55;9.915,55;9.737,24;-;-1,52;
30.06.2020;9.896,64;9.688,55;9.937,69;9.685,73;-;2,13;
29.06.2020;9.690,21;9.688,37;9.758,65;9.533,71;-;0,04;
26.06.2020;9.686,64;9.665,67;9.919,08;9.656,02;-;0,09;
25.06.2020;9.677,94;9.591,26;9.689,07;9.409,33;-;0,85;
24.06.2020;9.596,44;9.511,34;9.619,98;9.509,62;-;0,94;
23.06.2020;9.506,84;9.617,34;9.668,93;9.491,81;-;-1,56;
22.06.2020;9.657,09;9.707,38;9.707,38;9.459,70;-;-0,48;
19.06.2020;9.703,95;9.837,74;9.938,87;9.605,31;-;-1,35;
18.06.2020;9.836,94;9.616,49;9.836,94;9.616,14;-;2,58;
17.06.2020;9.589,43;9.537,27;9.695,74;9.466,18;-;0,58;
16.06.2020;9.533,72;9.211,48;9.561,78;9.211,48;-;3,54;
15.06.2020;9.208,17;8.994,58;9.233,20;8.978,05;-;2,70;
12.06.2020;8.966,40;9.222,05;9.222,45;8.930,95;-;-2,67;
10.06.2020;9.212,15;9.159,34;9.255,06;9.053,82;-;0,79;
09.06.2020;9.139,88;9.116,79;9.251,64;9.114,26;-;0,21;
08.06.2020;9.120,71;9.258,63;9.301,40;9.085,82;-;-1,08;
05.06.2020;9.220,35;9.270,02;9.307,83;9.182,22;-;-0,53;
04.06.2020;9.269,84;9.260,25;9.344,39;9.173,63;-;0,20;
03.06.2020;9.250,95;9.328,73;9.342,34;9.099,72;-;-0,79;
02.06.2020;9.324,18;9.579,37;9.584,38;9.286,29;-;-2,55;
01.06.2020;9.568,28;9.470,76;9.616,41;9.377,88;-;1,03;
29.05.2020;9.470,67;9.535,78;9.563,23;9.401,53;-;0,17;
28.05.2020;9.454,16;9.376,48;9.513,16;9.320,71;-;1,59;
27.05.2020;9.306,08;9.351,44;9.352,13;9.188,72;-;-0,16;
26.05.2020;9.321,18;9.583,98;9.583,98;9.306,75;-;-2,45;
25.05.2020;9.555,03;9.627,48;9.627,48;9.551,98;-;-0,46;
22.05.2020;9.599,45;9.623,93;9.701,46;9.520,83;-;-0,24;
21.05.2020;9.622,63;9.892,39;9.897,11;9.583,09;-;-2,46;
20.05.2020;9.865,62;9.886,43;9.975,28;9.841,99;-;0,04;
19.05.2020;9.861,51;9.890,95;9.950,73;9.804,45;-;-0,30;
18.05.2020;9.891,48;9.752,09;9.903,34;9.740,85;-;1,51;
15.05.2020;9.744,69;9.695,11;9.752,47;9.548,37;-;0,53;
14.05.2020;9.693,72;9.766,18;9.766,18;9.627,25;-;-0,74;
13.05.2020;9.766,04;9.888,36;9.935,72;9.677,69;-;-1,38;
12.05.2020;9.902,46;9.991,05;10.007,49;9.783,67;-;-0,71;
11.05.2020;9.973,64;9.811,87;9.995,11;9.786,37;-;1,60;
08.05.2020;9.816,94;9.770,27;9.868,65;9.735,31;-;0,48;
07.05.2020;9.770,29;9.498,87;9.866,80;9.498,45;-;2,86;
06.05.2020;9.498,46;9.316,90;9.531,36;9.316,90;-;1,95;
05.05.2020;9.316,38;9.116,60;9.376,54;9.116,32;-;2,23;
04.05.2020;9.113,22;9.209,75;9.217,85;9.083,79;-;-0,98;
30.04.2020;9.203,32;9.209,66;9.296,27;9.106,51;-;0,01;
29.04.2020;9.202,85;9.204,89;9.398,47;9.132,67;-;-0,00;
28.04.2020;9.202,96;9.542,72;9.542,72;9.156,15;-;-3,69;
27.04.2020;9.555,67;9.413,00;9.621,46;9.222,67;-;1,66;
24.04.2020;9.399,94;9.038,57;9.482,48;9.026,94;-;4,01;
23.04.2020;9.037,92;8.887,52;9.115,52;8.866,78;-;1,66;
22.04.2020;8.890,65;8.794,08;8.890,65;8.699,94;-;1,08;
20.04.2020;8.796,07;8.790,64;8.899,83;8.660,42;-;0,10;
17.04.2020;8.787,56;8.633,42;8.788,83;8.633,42;-;1,81;
16.04.2020;8.631,01;8.525,30;8.639,24;8.490,39;-;1,25;
15.04.2020;8.524,51;8.612,82;8.612,82;8.464,31;-;-0,94;
14.04.2020;8.605,00;8.353,90;8.632,79;8.351,67;-;3,02;
13.04.2020;8.352,69;8.260,51;8.376,96;8.217,00;-;1,12;
09.04.2020;8.260,28;8.235,06;8.314,36;8.100,48;-;0,36;
08.04.2020;8.230,74;8.164,45;8.266,40;8.084,36;-;0,62;
07.04.2020;8.179,85;8.221,73;8.392,23;8.112,12;-;-0,52;
06.04.2020;8.222,63;7.783,35;8.243,61;7.783,35;-;5,64;
03.04.2020;7.783,58;7.743,43;7.898,25;7.675,49;-;0,53;
02.04.2020;7.742,40;7.592,02;7.844,91;7.568,72;-;1,98;
01.04.2020;7.592,10;7.901,09;7.901,09;7.573,92;-;-4,05;
31.03.2020;7.912,32;7.931,96;8.029,82;7.782,92;-;0,15;
30.03.2020;7.900,55;7.562,54;7.958,54;7.562,06;-;4,48;
27.03.2020;7.562,11;7.622,26;7.699,17;7.511,67;-;-0,78;
26.03.2020;7.621,89;7.337,99;7.647,68;7.241,16;-;3,88;
25.03.2020;7.337,16;7.259,22;7.501,81;7.208,88;-;1,08;
24.03.2020;7.259,02;6.775,41;7.287,87;6.775,41;-;7,21;
23.03.2020;6.770,77;6.783,80;6.946,06;6.616,60;-;-0,27;
20.03.2020;6.789,01;7.146,85;7.260,04;6.749,04;-;-4,99;
19.03.2020;7.145,87;7.148,81;7.380,44;6.937,29;-;-0,04;
18.03.2020;7.149,03;7.216,79;7.278,25;6.901,54;-;-0,99;
17.03.2020;7.220,54;7.008,70;7.429,72;6.968,30;-;2,83;
16.03.2020;7.021,60;7.357,92;7.357,92;7.021,60;-;-4,54;
13.03.2020;7.355,91;6.955,27;7.397,98;6.873,28;-;5,88;
12.03.2020;6.947,71;7.494,95;7.494,95;6.943,57;-;-7,29;
11.03.2020;7.493,88;7.684,20;7.684,20;7.375,61;-;-2,44;
10.03.2020;7.681,45;7.590,70;7.746,63;7.418,90;-;1,35;
09.03.2020;7.579,29;7.932,67;7.932,67;7.532,82;-;-4,74;
06.03.2020;7.956,13;8.023,76;8.024,32;7.757,00;-;-0,84;
05.03.2020;8.023,33;8.224,58;8.234,63;8.013,32;-;-2,45;
04.03.2020;8.224,99;7.823,39;8.224,99;7.809,29;-;5,32;
03.03.2020;7.809,26;7.928,15;8.060,62;7.752,11;-;-1,49;
02.03.2020;7.927,48;7.501,97;7.927,48;7.501,97;-;5,67;
28.02.2020;7.501,97;7.733,43;7.733,43;7.438,42;-;-3,06;
27.02.2020;7.738,55;8.027,47;8.027,47;7.738,55;-;-3,60;
26.02.2020;8.027,52;8.401,60;8.401,60;7.980,43;-;-4,79;
