Data;Ultimo;Abertura;Max;Min;Vol;Var(%);
31.07.2020;16.743,19;17.021,11;17.104,34;16.702,36;-;-1,63;
30.07.2020;17.020,89;17.034,39;17.034,39;16.792,93;-;-0,08;
29.07.2020;17.034,39;16.806,85;17.041,63;16.806,85;-;1,35;
28.07.2020;16.806,86;16.864,23;16.878,95;16.716,88;-;-0,34;
27.07.2020;16.864,23;16.591,38;16.894,45;16.591,38;-;1,64;
24.07.2020;16.591,39;16.624,84;16.627,86;16.345,09;-;-0,20;
23.07.2020;16.624,85;16.951,49;17.071,65;16.591,61;-;-1,93;
22.07.2020;16.951,49;16.929,93;17.051,56;16.780,18;-;0,13;
21.07.2020;16.929,93;16.999,83;17.163,19;16.834,13;-;-0,41;
20.07.2020;16.999,82;16.722,89;17.001,30;16.706,38;-;1,66;
17.07.2020;16.722,88;16.333,23;16.739,72;16.333,23;-;2,39;
16.07.2020;16.333,17;16.514,41;16.514,41;16.265,08;-;-1,10;
15.07.2020;16.514,41;16.314,02;16.557,16;16.314,02;-;1,23;
14.07.2020;16.313,31;16.042,01;16.339,85;15.966,56;-;1,69;
13.07.2020;16.041,96;16.221,86;16.377,51;16.041,96;-;-1,11;
10.07.2020;16.221,83;16.079,03;16.234,45;16.031,66;-;0,89;
09.07.2020;16.079,03;16.178,36;16.239,82;16.029,57;-;-0,61;
08.07.2020;16.178,33;15.869,60;16.202,23;15.869,60;-;1,95;
07.07.2020;15.869,60;16.011,41;16.035,73;15.788,62;-;-0,89;
06.07.2020;16.011,40;15.711,36;16.076,67;15.711,36;-;1,91;
03.07.2020;15.711,36;15.594,77;15.711,63;15.531,75;-;0,75;
02.07.2020;15.594,41;15.601,22;15.847,00;15.570,81;-;-0,04;
01.07.2020;15.601,20;15.403,98;15.668,32;15.403,98;-;1,28;
30.06.2020;15.403,98;15.456,87;15.563,63;15.307,32;-;-0,34;
29.06.2020;15.457,11;15.167,54;15.457,11;15.138,91;-;1,91;
26.06.2020;15.167,11;15.510,40;15.510,40;15.114,63;-;-2,21;
25.06.2020;15.510,41;15.268,34;15.547,08;15.198,92;-;1,59;
24.06.2020;15.268,34;15.495,12;15.495,12;15.068,32;-;-1,47;
