Data;Ultimo;Abertura;Max;Min;Vol;Var(%);
31.07.2020;3.649,56;3.701,06;3.715,67;3.641,15;-;-1,38;
30.07.2020;3.700,46;3.726,25;3.755,66;3.682,81;-;-0,70;
29.07.2020;3.726,43;3.666,60;3.743,31;3.666,53;-;1,64;
28.07.2020;3.666,32;3.694,65;3.700,27;3.630,57;-;-0,77;
27.07.2020;3.694,88;3.599,71;3.698,43;3.599,61;-;2,63;
24.07.2020;3.600,14;3.541,52;3.602,95;3.511,58;-;1,66;
23.07.2020;3.541,48;3.554,60;3.606,14;3.526,54;-;-0,37;
22.07.2020;3.554,60;3.536,29;3.579,29;3.513,44;-;0,54;
21.07.2020;3.535,48;3.573,81;3.582,49;3.511,68;-;-1,07;
20.07.2020;3.573,84;3.554,72;3.580,26;3.534,17;-;0,56;
17.07.2020;3.553,91;3.498,25;3.560,75;3.492,71;-;1,60;
16.07.2020;3.497,98;3.550,55;3.550,55;3.479,37;-;-1,48;
15.07.2020;3.550,58;3.507,42;3.568,95;3.489,92;-;1,28;
14.07.2020;3.505,63;3.387,19;3.520,96;3.378,67;-;3,50;
13.07.2020;3.387,12;3.385,01;3.500,43;3.382,52;-;0,08;
10.07.2020;3.384,42;3.370,67;3.395,59;3.353,79;-;0,43;
09.07.2020;3.370,07;3.411,39;3.415,18;3.357,17;-;-1,21;
08.07.2020;3.411,22;3.343,00;3.426,55;3.343,00;-;2,05;
07.07.2020;3.342,62;3.379,87;3.380,14;3.329,32;-;-1,10;
06.07.2020;3.379,80;3.333,30;3.401,15;3.332,93;-;1,42;
03.07.2020;3.332,46;3.329,70;3.336,27;3.305,99;-;0,10;
02.07.2020;3.328,98;3.300,89;3.354,71;3.300,66;-;0,87;
01.07.2020;3.300,14;3.317,67;3.332,46;3.267,23;-;-0,53;
30.06.2020;3.317,67;3.303,77;3.342,03;3.276,72;-;0,42;
29.06.2020;3.303,77;3.292,86;3.317,88;3.270,72;-;0,33;
26.06.2020;3.292,79;3.339,74;3.388,13;3.268,14;-;-1,41;
25.06.2020;3.339,74;3.346,15;3.357,50;3.297,54;-;-0,18;
24.06.2020;3.345,86;3.348,45;3.372,04;3.300,81;-;-0,07;
23.06.2020;3.348,25;3.327,04;3.405,72;3.327,04;-;0,65;
22.06.2020;3.326,61;3.355,27;3.369,46;3.303,37;-;-0,80;
19.06.2020;3.353,57;3.367,25;3.446,03;3.336,96;-;-0,39;
18.06.2020;3.366,67;3.312,64;3.367,49;3.288,55;-;1,63;
17.06.2020;3.312,56;3.266,89;3.333,08;3.257,12;-;1,40;
16.06.2020;3.266,75;3.172,50;3.291,39;3.172,31;-;3,00;
15.06.2020;3.171,53;3.164,56;3.191,10;3.093,94;-;0,17;
12.06.2020;3.166,18;3.267,83;3.273,06;3.107,29;-;-3,13;
10.06.2020;3.268,60;3.338,61;3.366,84;3.262,41;-;-2,08;
09.06.2020;3.337,94;3.371,90;3.371,90;3.311,91;-;-1,06;
08.06.2020;3.373,61;3.294,21;3.386,16;3.282,33;-;2,42;
05.06.2020;3.293,91;3.345,84;3.408,02;3.293,91;-;-1,50;
04.06.2020;3.344,24;3.281,63;3.357,72;3.267,90;-;1,92;
03.06.2020;3.281,34;3.254,31;3.316,97;3.252,61;-;0,85;
02.06.2020;3.253,74;3.185,59;3.263,70;3.185,38;-;2,15;
01.06.2020;3.185,29;3.154,80;3.216,60;3.144,29;-;0,97;
29.05.2020;3.154,79;3.111,83;3.177,69;3.094,12;-;1,38;
28.05.2020;3.111,93;3.093,91;3.141,17;3.084,67;-;0,59;
27.05.2020;3.093,70;2.945,70;3.105,80;2.945,33;-;5,03;
26.05.2020;2.945,52;2.977,35;3.020,14;2.935,38;-;-1,06;
25.05.2020;2.977,10;2.954,98;3.028,54;2.954,98;-;0,76;
22.05.2020;2.954,68;2.995,75;2.999,00;2.936,64;-;-1,37;
21.05.2020;2.995,81;3.049,00;3.056,49;2.971,11;-;-1,75;
20.05.2020;3.049,14;3.064,25;3.119,82;3.040,02;-;-0,47;
19.05.2020;3.063,59;3.032,78;3.105,98;3.031,22;-;1,02;
18.05.2020;3.032,78;2.973,96;3.078,55;2.973,96;-;2,05;
15.05.2020;2.971,72;3.056,32;3.081,96;2.955,78;-;-2,79;
14.05.2020;3.056,94;3.095,20;3.099,42;2.996,29;-;-1,27;
13.05.2020;3.096,22;3.043,83;3.121,50;3.043,05;-;1,75;
12.05.2020;3.043,02;3.069,08;3.109,78;3.043,02;-;-0,83;
11.05.2020;3.068,41;3.098,25;3.125,28;3.065,42;-;-0,96;
08.05.2020;3.098,25;2.968,81;3.111,52;2.968,81;-;4,38;
