Data;Ultimo;Abertura;Max;Min;Vol;Var(%);
31.07.2020;19.523,91;19.970,03;20.042,06;19.457,68;-;-2,23;
30.07.2020;19.968,75;20.005,37;20.207,53;19.839,72;-;-0,20;
29.07.2020;20.008,63;19.776,92;20.071,55;19.776,92;-;1,17;
28.07.2020;19.776,78;19.847,30;19.860,70;19.575,25;-;-0,36;
27.07.2020;19.847,30;19.539,90;20.024,23;19.539,90;-;1,57;
24.07.2020;19.540,63;19.374,02;19.540,63;19.115,46;-;0,86;
23.07.2020;19.373,98;19.589,34;19.858,43;19.330,51;-;-1,10;
22.07.2020;19.590,16;19.280,89;19.693,65;19.280,76;-;1,60;
21.07.2020;19.280,76;19.268,95;19.394,97;19.060,59;-;0,06;
20.07.2020;19.268,82;18.993,30;19.273,18;18.944,70;-;1,47;
17.07.2020;18.989,74;18.493,77;19.004,23;18.492,24;-;2,68;
16.07.2020;18.493,32;18.713,25;18.735,09;18.376,85;-;-1,18;
15.07.2020;18.713,38;18.406,37;18.798,74;18.406,37;-;1,68;
14.07.2020;18.403,92;18.385,17;18.436,43;18.090,10;-;0,10;
13.07.2020;18.385,12;18.840,58;19.038,99;18.371,97;-;-2,42;
10.07.2020;18.840,58;18.661,84;18.866,31;18.637,06;-;0,96;
09.07.2020;18.661,84;18.789,04;18.877,23;18.606,04;-;-0,67;
08.07.2020;18.787,89;18.474,19;18.816,76;18.474,19;-;1,72;
07.07.2020;18.470,34;18.479,66;18.582,07;18.302,91;-;-0,04;
06.07.2020;18.477,93;18.330,21;18.551,50;18.330,08;-;0,81;
03.07.2020;18.329,23;18.168,30;18.329,27;18.122,38;-;0,90;
02.07.2020;18.166,32;18.100,31;18.385,06;18.053,72;-;0,38;
01.07.2020;18.097,84;17.898,38;18.216,31;17.893,77;-;1,11;
30.06.2020;17.898,38;17.873,79;18.128,15;17.749,94;-;0,14;
29.06.2020;17.873,79;17.712,90;17.873,79;17.617,62;-;0,91;
26.06.2020;17.713,05;18.062,62;18.220,07;17.613,00;-;-1,94;
25.06.2020;18.063,94;17.804,64;18.135,00;17.772,84;-;1,45;
24.06.2020;17.805,69;17.950,23;17.950,23;17.489,03;-;-0,83;
23.06.2020;17.954,10;17.889,97;18.181,97;17.867,62;-;0,36;
22.06.2020;17.889,15;18.033,19;18.114,16;17.799,44;-;-0,79;
19.06.2020;18.032,05;17.915,08;18.264,24;17.915,08;-;0,67;
18.06.2020;17.912,83;17.834,62;18.094,19;17.772,51;-;0,44;
17.06.2020;17.834,20;17.356,02;18.010,71;17.356,02;-;2,76;
16.06.2020;17.356,02;17.183,12;17.671,96;17.183,12;-;1,01;
15.06.2020;17.182,20;17.231,72;17.270,59;16.801,74;-;-0,30;
12.06.2020;17.234,41;17.679,83;17.687,96;16.870,79;-;-2,53;
10.06.2020;17.681,67;18.054,42;18.227,60;17.609,52;-;-2,06;
09.06.2020;18.053,84;18.288,28;18.288,43;17.919,77;-;-1,29;
08.06.2020;18.290,21;17.612,78;18.318,19;17.605,45;-;3,85;
05.06.2020;17.612,65;17.472,24;17.959,46;17.471,98;-;0,81;
04.06.2020;17.471,52;17.180,09;17.525,37;17.059,35;-;1,69;
03.06.2020;17.180,37;17.037,50;17.465,61;17.037,33;-;0,85;
02.06.2020;17.035,80;16.707,79;17.148,82;16.707,48;-;1,98;
01.06.2020;16.705,56;16.484,06;16.821,92;16.354,97;-;1,30;
29.05.2020;16.491,37;16.596,66;16.597,72;16.176,96;-;-0,64;
28.05.2020;16.598,29;16.765,51;16.821,37;16.518,06;-;-1,01;
27.05.2020;16.767,24;15.961,50;16.790,51;15.961,18;-;5,05;
26.05.2020;15.961,21;15.786,01;16.234,98;15.786,01;-;1,12;
25.05.2020;15.784,09;15.417,11;15.854,11;15.415,27;-;2,40;
22.05.2020;15.413,70;15.517,53;15.571,43;15.334,85;-;-0,67;
21.05.2020;15.517,64;15.645,59;15.760,84;15.420,32;-;-0,82;
20.05.2020;15.645,59;15.541,88;15.809,02;15.524,61;-;0,67;
19.05.2020;15.541,44;15.613,06;15.923,15;15.541,44;-;-0,46;
18.05.2020;15.613,06;15.556,95;15.920,04;15.556,95;-;0,37;
15.05.2020;15.554,95;16.011,13;16.011,13;15.490,11;-;-2,86;
14.05.2020;16.012,17;16.002,43;16.036,89;15.616,06;-;0,05;
13.05.2020;16.004,03;15.813,04;16.125,64;15.811,79;-;1,21;
12.05.2020;15.812,26;16.010,59;16.217,64;15.812,26;-;-1,24;
11.05.2020;16.010,13;16.055,19;16.323,36;15.971,29;-;-0,31;
08.05.2020;16.059,18;15.888,86;16.241,15;15.888,86;-;1,10;
07.05.2020;15.884,77;15.611,33;16.216,90;15.611,33;-;1,75;
06.05.2020;15.611,33;15.578,71;15.704,83;15.291,13;-;0,21;
05.05.2020;15.578,71;15.523,73;15.873,09;15.500,17;-;0,36;
04.05.2020;15.523,08;15.716,73;15.716,73;15.168,87;-;-1,23;
30.04.2020;15.716,73;16.104,77;16.122,07;15.595,98;-;-2,41;
29.04.2020;16.105,35;15.846,63;16.264,03;15.846,63;-;1,64;
28.04.2020;15.845,96;15.506,97;16.039,03;15.506,97;-;2,20;
27.04.2020;15.505,19;14.766,84;15.591,45;14.766,84;-;5,00;
24.04.2020;14.766,61;15.274,88;15.275,14;13.994,63;-;-3,33;
23.04.2020;15.275,76;15.298,50;15.579,57;15.008,81;-;-0,14;
22.04.2020;15.296,48;14.928,06;15.377,96;14.924,63;-;2,47;
20.04.2020;14.928,19;14.905,70;15.139,76;14.507,94;-;0,13;
17.04.2020;14.909,28;14.754,57;15.126,16;14.733,59;-;1,05;
16.04.2020;14.754,38;14.851,55;15.086,15;14.637,74;-;-0,65;
15.04.2020;14.851,51;14.894,82;14.931,28;14.512,75;-;-0,29;
14.04.2020;14.895,28;14.547,46;15.090,20;14.547,46;-;2,40;
13.04.2020;14.545,92;14.355,43;14.570,74;14.216,91;-;1,33;
09.04.2020;14.355,39;14.637,81;14.884,37;14.355,39;-;-1,92;
08.04.2020;14.636,78;14.374,46;14.710,53;14.171,89;-;1,82;
07.04.2020;14.374,62;14.101,69;15.118,08;14.101,69;-;1,98;
06.04.2020;14.095,73;13.566,68;14.538,59;13.566,68;-;3,95;
03.04.2020;13.560,73;14.066,96;14.070,08;13.042,63;-;-3,60;
02.04.2020;14.066,48;13.772,38;14.338,44;13.685,93;-;2,17;
01.04.2020;13.767,93;13.912,89;13.913,90;13.252,98;-;-1,06;
31.03.2020;13.915,24;14.249,02;14.362,09;13.850,07;-;-2,34;
30.03.2020;14.249,17;14.224,62;14.741,02;14.174,08;-;0,17;
27.03.2020;14.224,42;14.609,36;14.692,95;13.825,03;-;-2,64;
26.03.2020;14.609,43;14.127,80;14.970,20;14.127,80;-;3,39;
25.03.2020;14.130,52;13.298,28;14.586,76;13.290,68;-;6,26;
24.03.2020;13.298,28;12.656,80;13.946,43;12.656,76;-;5,08;
23.03.2020;12.654,94;12.938,46;13.037,17;12.323,84;-;-2,18;
20.03.2020;12.936,48;12.935,25;13.937,84;12.624,81;-;0,02;
19.03.2020;12.933,52;11.925,77;13.228,01;10.949,82;-;8,45;
18.03.2020;11.926,08;13.399,76;13.399,85;11.331,16;-;-11,01;
17.03.2020;13.401,15;12.950,33;14.134,96;12.936,10;-;3,48;
16.03.2020;12.950,03;15.228,14;15.228,14;12.882,18;-;-14,98;
13.03.2020;15.232,32;13.620,99;15.488,65;13.588,17;-;11,91;
12.03.2020;13.610,85;16.344,52;16.344,52;13.111,44;-;-16,76;
11.03.2020;16.350,36;17.666,71;17.666,71;15.393,43;-;-7,45;
10.03.2020;17.666,44;16.715,51;17.692,04;16.682,78;-;5,72;
09.03.2020;16.711,32;18.736,29;18.736,29;16.711,32;-;-10,83;
06.03.2020;18.740,47;19.579,04;19.579,04;18.584,43;-;-4,30;
05.03.2020;19.582,03;20.487,90;20.487,90;19.217,15;-;-4,44;
04.03.2020;20.491,80;19.798,73;20.534,77;19.798,73;-;3,51;
03.03.2020;19.796,77;19.958,26;20.506,87;19.634,55;-;-0,81;
02.03.2020;19.957,86;19.278,09;20.060,99;19.278,09;-;3,52;
28.02.2020;19.278,97;19.305,81;19.305,81;18.477,01;-;-0,14;
27.02.2020;19.306,17;20.191,19;20.191,19;19.306,17;-;-4,40;
26.02.2020;20.194,02;21.634,43;21.634,43;20.081,12;-;-6,68;
21.02.2020;21.640,26;21.552,88;21.666,39;21.331,13;-;0,40;
20.02.2020;21.553,86;21.822,10;21.844,13;21.549,94;-;-1,23;
19.02.2020;21.821,92;21.397,97;21.864,28;21.355,58;-;1,98;
18.02.2020;21.397,80;21.551,60;21.551,60;21.175,92;-;-0,71;
17.02.2020;21.551,60;21.387,39;21.668,92;21.387,39;-;0,77;
14.02.2020;21.386,72;21.578,51;21.603,32;21.252,46;-;-0,89;
13.02.2020;21.578,62;21.492,46;21.605,45;21.125,97;-;0,39;
12.02.2020;21.495,60;21.248,78;21.718,70;21.239,15;-;1,17;
11.02.2020;21.247,94;20.655,61;21.248,88;20.655,35;-;2,87;
10.02.2020;20.654,64;20.998,17;21.199,68;20.528,80;-;-1,64;
07.02.2020;20.998,17;21.517,64;21.517,64;20.997,85;-;-2,42;
06.02.2020;21.518,65;21.731,76;21.949,32;21.469,40;-;-0,97;
05.02.2020;21.728,91;21.777,92;22.147,47;21.669,42;-;-0,22;
04.02.2020;21.776,29;21.657,27;22.112,08;21.657,27;-;0,56;
03.02.2020;21.655,67;21.426,53;21.886,84;21.421,56;-;1,07;
31.01.2020;21.426,53;21.790,45;21.790,45;21.359,00;-;-1,71;
30.01.2020;21.799,71;21.982,46;21.982,46;21.273,94;-;-0,84;
29.01.2020;21.983,57;22.257,21;22.472,31;21.978,79;-;-1,22;
28.01.2020;22.255,34;21.932,59;22.416,91;21.931,09;-;1,48;
27.01.2020;21.931,48;22.976,25;22.976,37;21.922,99;-;-4,56;
24.01.2020;22.978,56;23.117,63;23.123,77;22.898,82;-;-0,59;
23.01.2020;23.115,74;23.142,30;23.142,30;22.764,30;-;-0,11;
22.01.2020;23.142,21;22.695,70;23.142,21;22.677,98;-;1,97;
21.01.2020;22.694,70;22.865,86;22.925,95;22.692,01;-;-0,75;
20.01.2020;22.865,86;22.677,12;22.865,86;22.576,76;-;0,84;
17.01.2020;22.674,36;22.491,05;22.674,36;22.489,74;-;0,82;
16.01.2020;22.490,84;22.459,49;22.628,40;22.309,47;-;0,14;
15.01.2020;22.458,76;22.609,43;22.611,57;22.434,43;-;-0,67;
14.01.2020;22.609,43;22.565,43;22.697,21;22.475,12;-;0,20;
13.01.2020;22.564,32;22.098,58;22.564,32;22.098,58;-;2,11;
10.01.2020;22.097,91;22.036,41;22.263,62;21.983,05;-;0,28;
09.01.2020;22.035,74;22.015,45;22.130,29;21.901,21;-;0,09;
08.01.2020;22.014,94;21.885,52;22.135,75;21.856,92;-;0,59;
07.01.2020;21.885,52;21.749,72;21.912,22;21.652,12;-;0,63;
06.01.2020;21.748,67;21.861,07;21.881,25;21.629,33;-;-0,53;
03.01.2020;21.864,04;21.767,01;21.934,86;21.484,90;-;0,44;
02.01.2020;21.767,50;21.193,97;21.767,50;21.193,97;-;2,74;
30.12.2019;21.187,16;21.380,97;21.490,36;21.176,66;-;-0,91;
27.12.2019;21.381,30;21.425,74;21.538,58;21.279,88;-;-0,20;
26.12.2019;21.424,79;21.138,60;21.434,02;21.087,03;-;1,36;
23.12.2019;21.137,33;20.958,18;21.137,33;20.953,99;-;0,85;
20.12.2019;20.958,18;20.820,51;20.994,38;20.799,50;-;0,67;
19.12.2019;20.818,58;20.699,92;20.851,37;20.572,89;-;0,57;
18.12.2019;20.699,92;20.538,12;20.743,34;20.455,44;-;0,79;
17.12.2019;20.536,72;20.663,80;20.770,39;20.488,55;-;-0,61;
16.12.2019;20.663,28;20.622,34;20.775,64;20.619,85;-;0,20;
13.12.2019;20.621,90;20.404,97;20.636,71;20.403,92;-;1,06;
12.12.2019;20.405,06;20.227,53;20.471,29;20.227,53;-;0,88;
11.12.2019;20.226,80;20.105,28;20.226,80;20.035,76;-;0,60;
10.12.2019;20.105,29;20.087,41;20.163,77;19.967,25;-;0,09;
09.12.2019;20.086,89;20.318,73;20.388,26;20.067,44;-;-1,14;
06.12.2019;20.319,17;20.080,71;20.350,86;20.080,71;-;1,19;
05.12.2019;20.080,71;20.013,13;20.158,43;19.979,97;-;0,32;
04.12.2019;20.016,20;19.931,77;20.083,21;19.931,77;-;0,45;
03.12.2019;19.925,65;19.899,72;19.948,12;19.739,26;-;0,13;
02.12.2019;19.900,60;19.854,27;19.953,60;19.836,15;-;0,23;
29.11.2019;19.854,27;19.809,29;19.933,21;19.711,27;-;0,22;
28.11.2019;19.810,78;19.681,20;19.885,54;19.655,54;-;0,66;
27.11.2019;19.681,20;19.586,97;19.767,94;19.411,29;-;0,48;
26.11.2019;19.586,62;19.652,23;19.717,17;19.478,83;-;-0,35;
25.11.2019;19.654,86;19.300,33;19.708,60;19.296,97;-;1,84;
22.11.2019;19.300,31;19.188,98;19.319,39;19.126,76;-;0,58;
21.11.2019;19.189,42;18.993,33;19.189,42;18.980,02;-;1,02;
19.11.2019;18.995,52;18.953,11;19.126,04;18.900,94;-;0,23;
18.11.2019;18.952,36;18.848,78;19.035,03;18.848,78;-;0,55;
14.11.2019;18.848,66;18.894,15;18.973,61;18.805,80;-;-0,24;
13.11.2019;18.894,07;18.990,26;19.062,46;18.803,94;-;-0,51;
12.11.2019;18.991,11;19.320,73;19.366,94;18.882,31;-;-1,71;
11.11.2019;19.320,59;19.164,82;19.361,54;19.009,50;-;0,77;
08.11.2019;19.172,29;19.354,05;19.392,69;19.072,44;-;-0,94;
07.11.2019;19.355,09;18.934,18;19.356,76;18.934,18;-;2,22;
06.11.2019;18.934,18;19.133,52;19.188,70;18.845,58;-;-1,04;
05.11.2019;19.133,16;19.155,95;19.184,46;18.982,93;-;-0,12;
04.11.2019;19.155,86;18.745,67;19.191,45;18.745,43;-;2,19;
01.11.2019;18.745,43;18.459,28;18.814,91;18.459,28;-;1,56;
31.10.2019;18.458,14;18.580,30;18.596,08;18.373,70;-;-0,65;
30.10.2019;18.579,78;18.483,16;18.579,78;18.379,23;-;0,52;
29.10.2019;18.483,16;18.535,61;18.617,61;18.430,06;-;-0,25;
28.10.2019;18.529,98;18.544,21;18.663,50;18.481,61;-;-0,08;
25.10.2019;18.544,21;19.011,30;19.041,80;18.544,15;-;-2,46;
24.10.2019;19.011,18;19.129,46;19.166,83;18.952,10;-;-0,62;
23.10.2019;19.129,04;19.274,26;19.328,85;19.117,48;-;-0,75;
22.10.2019;19.274,09;19.224,15;19.380,53;19.176,21;-;0,26;
21.10.2019;19.224,34;18.895,96;19.224,34;18.895,96;-;1,74;
18.10.2019;18.895,62;18.971,09;19.048,29;18.843,39;-;-0,40;
17.10.2019;18.971,41;19.004,74;19.080,76;18.939,48;-;-0,19;
16.10.2019;19.007,84;18.948,25;19.028,78;18.867,04;-;0,29;
15.10.2019;18.952,06;18.866,29;19.006,76;18.863,61;-;0,45;
14.10.2019;18.866,35;18.907,08;19.003,97;18.822,72;-;-0,20;
11.10.2019;18.904,44;18.609,15;19.010,24;18.609,15;-;1,59;
10.10.2019;18.608,99;18.512,35;18.721,80;18.499,47;-;0,49;
09.10.2019;18.517,56;18.602,58;18.716,72;18.451,59;-;-0,45;
08.10.2019;18.600,85;18.828,66;18.887,58;18.567,05;-;-1,20;
07.10.2019;18.827,25;19.201,10;19.201,39;18.786,98;-;-1,94;
04.10.2019;19.200,36;18.948,46;19.226,85;18.883,33;-;1,34;
03.10.2019;18.947,00;18.944,55;18.980,72;18.683,67;-;0,02;
02.10.2019;18.944,06;19.441,02;19.441,02;18.913,72;-;-2,56;
01.10.2019;19.441,02;19.448,92;19.517,88;19.340,42;-;-0,04;
30.09.2019;19.447,97;19.483,24;19.509,13;19.396,54;-;-0,18;
27.09.2019;19.483,33;19.609,46;19.653,73;19.434,66;-;-0,64;
26.09.2019;19.609,46;19.702,56;19.752,56;19.521,35;-;-0,48;
25.09.2019;19.704,47;19.543,65;19.755,04;19.525,32;-;0,82;
24.09.2019;19.543,78;19.418,83;19.574,01;19.417,55;-;0,64;
23.09.2019;19.419,15;19.407,95;19.449,08;19.268,99;-;0,05;
20.09.2019;19.408,55;19.248,78;19.447,55;19.231,39;-;0,83;
19.09.2019;19.248,82;19.274,25;19.534,36;19.241,13;-;-0,13;
18.09.2019;19.273,18;19.296,01;19.318,04;19.116,90;-;-0,11;
17.09.2019;19.294,20;19.123,64;19.300,97;19.076,38;-;0,89;
16.09.2019;19.124,89;19.106,09;19.265,63;18.877,25;-;0,11;
13.09.2019;19.104,57;19.069,07;19.206,44;19.020,28;-;0,19;
12.09.2019;19.069,15;18.794,34;19.123,86;18.794,34;-;1,46;
11.09.2019;18.794,34;18.707,87;18.915,88;18.685,77;-;0,46;
10.09.2019;18.707,87;18.587,54;18.809,27;18.479,88;-;0,65;
09.09.2019;18.587,42;18.547,17;18.851,08;18.449,14;-;0,22;
06.09.2019;18.546,25;18.659,23;18.759,69;18.524,87;-;-0,58;
05.09.2019;18.655,27;18.564,22;18.817,67;18.564,22;-;0,50;
04.09.2019;18.562,66;18.378,50;18.623,21;18.378,50;-;1,01;
03.09.2019;18.377,46;18.555,36;18.692,02;18.328,83;-;-0,96;
02.09.2019;18.555,36;18.658,92;18.754,94;18.555,36;-;-0,57;
30.08.2019;18.661,98;18.555,22;18.757,46;18.553,73;-;0,58;
29.08.2019;18.553,72;18.125,15;18.597,00;18.125,15;-;2,39;
28.08.2019;18.120,71;17.837,43;18.122,45;17.723,12;-;1,59;
27.08.2019;17.837,55;17.743,02;17.896,30;17.611,41;-;0,53;
26.08.2019;17.742,67;17.986,92;18.121,42;17.669,08;-;-1,35;
23.08.2019;17.985,16;18.458,12;18.458,12;17.919,25;-;-2,56;
22.08.2019;18.458,23;18.598,19;18.720,68;18.448,72;-;-0,71;
21.08.2019;18.591,00;18.419,07;18.632,73;18.366,09;-;0,94;
20.08.2019;18.417,24;18.552,79;18.555,54;18.247,29;-;-0,75;
19.08.2019;18.556,45;18.653,89;18.791,80;18.502,24;-;-0,49;
16.08.2019;18.648,50;18.490,16;18.811,81;18.462,53;-;0,87;
15.08.2019;18.487,93;18.624,71;19.000,99;18.291,31;-;-0,72;
14.08.2019;18.621,27;19.166,56;19.166,56;18.548,82;-;-2,85;
13.08.2019;19.166,60;19.032,24;19.290,26;18.925,41;-;0,71;
12.08.2019;19.032,28;19.078,18;19.152,82;18.837,77;-;-0,24;
09.08.2019;19.078,72;19.031,20;19.328,08;19.031,20;-;0,25;
08.08.2019;19.030,55;18.840,95;19.126,05;18.796,72;-;1,01;
07.08.2019;18.840,95;18.820,20;18.840,95;18.460,18;-;0,11;
06.08.2019;18.819,96;18.466,37;18.819,96;18.466,37;-;1,92;
05.08.2019;18.465,48;18.781,89;18.781,89;18.355,09;-;-1,69;
02.08.2019;18.783,29;18.755,74;18.818,35;18.533,58;-;0,13;
01.08.2019;18.759,32;18.553,65;19.084,18;18.553,65;-;1,12;
31.07.2019;18.551,37;18.704,94;18.736,64;18.368,53;-;-0,82;
30.07.2019;18.704,90;18.579,64;18.781,53;18.522,19;-;0,68;
29.07.2019;18.579,40;18.453,88;18.579,40;18.353,94;-;0,68;
26.07.2019;18.453,88;18.300,50;18.522,70;18.300,50;-;0,84;
25.07.2019;18.299,45;18.186,48;18.546,37;18.181,64;-;0,62;
24.07.2019;18.186,15;18.171,51;18.298,32;18.171,05;-;0,08;
23.07.2019;18.170,85;18.164,39;18.284,46;18.116,55;-;0,04;
22.07.2019;18.164,34;18.154,08;18.332,68;18.108,07;-;0,05;
19.07.2019;18.154,53;18.270,84;18.299,52;18.108,97;-;-0,64;
18.07.2019;18.270,63;18.154,27;18.270,63;18.150,43;-;0,65;
17.07.2019;18.152,04;18.155,49;18.208,61;18.100,07;-;-0,01;
16.07.2019;18.154,64;18.275,62;18.389,31;18.122,92;-;-0,64;
15.07.2019;18.271,12;18.177,19;18.353,17;18.177,19;-;0,53;
12.07.2019;18.174,06;18.399,58;18.507,22;18.166,14;-;-1,22;
11.07.2019;18.399,39;18.726,42;18.789,99;18.371,06;-;-1,75;
10.07.2019;18.726,26;18.499,41;18.819,96;18.499,41;-;1,23;
08.07.2019;18.498,00;18.456,23;18.552,76;18.434,47;-;0,23;
05.07.2019;18.456,19;18.281,78;18.478,78;18.198,21;-;0,95;
04.07.2019;18.281,71;18.027,47;18.318,00;18.027,47;-;1,42;
03.07.2019;18.026,05;17.752,25;18.076,16;17.703,19;-;1,54;
02.07.2019;17.752,25;17.639,23;17.763,45;17.531,45;-;0,63;
01.07.2019;17.641,12;17.459,31;17.712,48;17.459,31;-;1,04;
28.06.2019;17.459,31;17.413,83;17.596,21;17.413,83;-;0,26;
27.06.2019;17.413,67;17.369,57;17.435,49;17.223,31;-;0,25;
26.06.2019;17.369,49;17.399,63;17.514,92;17.336,36;-;-0,16;
25.06.2019;17.397,84;17.635,13;17.697,61;17.373,43;-;-1,35;
24.06.2019;17.636,03;17.590,93;17.706,84;17.584,95;-;0,26;
21.06.2019;17.590,75;17.331,95;17.640,91;17.331,95;-;1,50;
19.06.2019;17.331,57;17.146,48;17.350,04;17.144,47;-;1,08;
18.06.2019;17.146,85;16.967,65;17.165,12;16.967,65;-;1,07;
17.06.2019;16.964,79;16.968,71;17.094,77;16.936,39;-;-0,02;
14.06.2019;16.968,64;17.074,51;17.128,47;16.918,26;-;-0,63;
13.06.2019;17.076,91;16.831,58;17.145,50;16.830,70;-;1,47;
12.06.2019;16.828,75;16.890,69;16.906,93;16.713,41;-;-0,37;
11.06.2019;16.890,67;16.747,95;16.935,72;16.747,95;-;0,86;
10.06.2019;16.747,23;16.606,15;16.828,45;16.575,26;-;0,85;
07.06.2019;16.606,39;16.615,38;16.769,79;16.563,06;-;-0,05;
06.06.2019;16.615,14;16.552,95;16.702,28;16.479,69;-;0,38;
05.06.2019;16.552,62;16.703,39;16.804,80;16.543,81;-;-0,87;
04.06.2019;16.698,03;16.702,59;16.770,30;16.562,80;-;-0,01;
03.06.2019;16.699,00;16.919,63;16.998,26;16.602,70;-;-1,30;
31.05.2019;16.919,63;17.037,98;17.038,94;16.843,61;-;-0,71;
30.05.2019;17.040,82;16.910,54;17.165,20;16.897,26;-;0,77;
29.05.2019;16.910,38;17.212,49;17.212,49;16.879,64;-;-1,76;
28.05.2019;17.212,67;17.141,21;17.313,00;17.090,98;-;0,41;
27.05.2019;17.141,56;17.049,86;17.262,94;17.049,86;-;0,54;
24.05.2019;17.049,61;17.122,60;17.288,48;17.036,81;-;-0,42;
23.05.2019;17.121,85;17.300,15;17.415,34;17.108,61;-;-1,04;
22.05.2019;17.301,60;17.159,02;17.394,50;17.159,02;-;0,84;
21.05.2019;17.156,90;17.039,43;17.321,90;17.039,43;-;0,69;
20.05.2019;17.039,02;16.793,92;17.145,99;16.791,90;-;1,46;
17.05.2019;16.793,51;16.616,38;16.983,70;16.571,52;-;1,07;
16.05.2019;16.616,47;16.642,87;16.788,57;16.510,66;-;-0,16;
15.05.2019;16.643,70;16.767,73;16.767,73;16.403,96;-;-0,74;
14.05.2019;16.767,73;16.538,68;16.767,73;16.538,68;-;1,38;
13.05.2019;16.538,68;16.965,88;16.965,88;16.503,60;-;-2,53;
10.05.2019;16.967,29;17.285,69;17.303,38;16.936,79;-;-1,84;
09.05.2019;17.285,39;17.211,29;17.328,08;17.072,46;-;0,43;
08.05.2019;17.211,99;17.064,20;17.281,64;17.064,20;-;0,87;
07.05.2019;17.063,96;17.263,53;17.263,53;16.839,07;-;-1,16;
06.05.2019;17.263,56;17.328,44;17.328,44;17.097,66;-;-0,38;
03.05.2019;17.329,59;17.175,96;17.363,73;17.175,96;-;0,88;
02.05.2019;17.178,71;17.372,58;17.372,58;17.159,73;-;-1,12;
30.04.2019;17.372,58;17.361,91;17.430,27;17.222,81;-;0,08;
29.04.2019;17.358,23;17.313,56;17.450,97;17.313,56;-;0,27;
26.04.2019;17.311,64;17.496,14;17.500,51;17.203,20;-;-1,05;
25.04.2019;17.495,46;17.011,55;17.495,46;16.947,42;-;2,84;
24.04.2019;17.011,78;17.146,47;17.162,96;16.883,64;-;-0,78;
23.04.2019;17.146,20;16.878,42;17.231,64;16.878,42;-;1,59;
22.04.2019;16.877,51;16.716,05;16.950,68;16.706,72;-;0,97;
18.04.2019;16.716,05;16.800,95;16.877,16;16.697,60;-;-0,47;
17.04.2019;16.794,87;16.945,07;17.040,29;16.735,12;-;-0,88;
16.04.2019;16.944,68;16.659,41;17.132,11;16.639,80;-;1,71;
15.04.2019;16.659,51;16.568,90;16.689,09;16.567,09;-;0,55;
12.04.2019;16.569,07;16.554,88;16.712,04;16.402,49;-;0,04;
11.04.2019;16.562,63;16.722,90;16.781,42;16.540,83;-;-0,96;
10.04.2019;16.722,44;16.793,37;16.854,91;16.643,99;-;-0,41;
09.04.2019;16.790,78;16.908,23;16.908,28;16.669,09;-;-0,70;
08.04.2019;16.908,59;16.869,32;16.910,14;16.798,67;-;0,23;
05.04.2019;16.869,69;16.707,33;16.973,14;16.707,33;-;0,97;
04.04.2019;16.706,83;16.562,61;16.725,95;16.509,43;-;0,87;
03.04.2019;16.561,92;16.671,57;16.817,36;16.485,08;-;-0,66;
02.04.2019;16.671,22;16.775,86;16.897,23;16.610,14;-;-0,63;
01.04.2019;16.776,54;16.522,16;16.786,20;16.522,16;-;1,60;
29.03.2019;16.512,96;16.370,03;16.622,66;16.370,03;-;0,93;
