Data;Ultimo;Abertura;Max;Min;Vol;Var(%);
27.12.2000;4.125,56;4.037,39;4.141,87;4.027,25;-;1,91;
28.12.2000;4.133,35;4.146,34;4.166,98;4.096,97;-;0,19;
02.01.2001;4.136,16;4.168,84;4.205,99;4.128,69;-;0,07;
03.01.2001;4.438,78;4.141,44;4.438,78;4.135,93;-;7,32;
04.01.2001;4.393,55;4.424,25;4.493,29;4.377,40;-;-1,02;
05.01.2001;4.381,43;4.433,05;4.480,75;4.354,56;-;-0,28;
08.01.2001;4.515,99;4.377,43;4.519,17;4.337,40;-;3,07;
09.01.2001;4.617,18;4.560,74;4.704,83;4.551,23;-;2,24;
10.01.2001;4.619,24;4.626,15;4.663,13;4.568,06;-;0,04;
11.01.2001;4.759,92;4.623,61;4.766,89;4.568,09;-;3,05;
12.01.2001;4.768,75;4.814,75;4.835,02;4.732,00;-;0,19;
15.01.2001;4.779,89;4.754,07;4.842,51;4.754,07;-;0,23;
16.01.2001;4.720,03;4.766,52;4.772,62;4.695,80;-;-1,25;
17.01.2001;4.803,23;4.785,06;4.851,26;4.766,79;-;1,76;
18.01.2001;4.925,32;4.850,84;4.984,89;4.825,76;-;2,54;
19.01.2001;4.942,82;4.962,24;4.975,23;4.915,93;-;0,36;
22.01.2001;4.923,81;4.944,16;4.944,16;4.895,97;-;-0,38;
23.01.2001;5.077,36;4.971,14;5.088,60;4.960,67;-;3,12;
24.01.2001;5.047,34;5.143,30;5.144,31;5.008,87;-;-0,59;
26.01.2001;5.094,45;5.022,57;5.108,05;4.989,11;-;0,93;
29.01.2001;5.077,54;5.103,06;5.103,06;5.043,94;-;-0,33;
30.01.2001;5.066,41;5.097,36;5.110,57;5.032,32;-;-0,22;
31.01.2001;5.048,50;5.116,69;5.140,00;5.047,89;-;-0,35;
01.02.2001;4.991,82;5.013,50;5.033,48;4.931,35;-;-1,12;
02.02.2001;5.048,91;5.018,03;5.054,86;4.963,47;-;1,14;
05.02.2001;5.052,97;5.075,19;5.086,66;5.011,17;-;0,08;
06.02.2001;5.173,41;5.144,11;5.173,94;5.106,65;-;2,38;
07.02.2001;5.178,52;5.142,02;5.182,43;5.109,34;-;0,10;
08.02.2001;5.434,87;5.243,58;5.434,87;5.227,40;-;4,95;
