Data;Ultimo;Abertura;Max;Min;Vol;Var(%);
31.07.2020;2.733,12;2.733,68;2.741,02;2.731,47;-;-0,02;
30.07.2020;2.733,65;2.723,20;2.733,69;2.722,29;-;0,38;
29.07.2020;2.723,24;2.722,70;2.727,80;2.719,42;-;0,02;
28.07.2020;2.722,71;2.722,74;2.725,38;2.717,41;-;-0,00;
27.07.2020;2.722,77;2.730,89;2.734,05;2.722,77;-;-0,30;
24.07.2020;2.730,92;2.732,84;2.735,95;2.724,81;-;-0,07;
23.07.2020;2.732,84;2.735,69;2.740,97;2.732,19;-;-0,10;
22.07.2020;2.735,69;2.732,18;2.736,82;2.730,54;-;0,13;
21.07.2020;2.732,19;2.724,51;2.732,82;2.724,51;-;0,28;
20.07.2020;2.724,51;2.741,64;2.746,16;2.723,67;-;-0,62;
17.07.2020;2.741,64;2.743,61;2.749,93;2.741,25;-;-0,07;
16.07.2020;2.743,44;2.746,23;2.749,10;2.741,45;-;-0,10;
15.07.2020;2.746,23;2.742,70;2.749,53;2.742,70;-;0,13;
14.07.2020;2.742,70;2.751,19;2.753,77;2.741,75;-;-0,31;
13.07.2020;2.751,18;2.766,87;2.769,97;2.751,08;-;-0,57;
10.07.2020;2.766,91;2.766,10;2.767,15;2.757,14;-;0,03;
09.07.2020;2.766,10;2.779,58;2.781,76;2.762,61;-;-0,48;
08.07.2020;2.779,58;2.798,33;2.798,81;2.771,68;-;-0,67;
07.07.2020;2.798,33;2.802,39;2.808,18;2.796,48;-;-0,15;
06.07.2020;2.802,41;2.813,16;2.816,59;2.802,17;-;-0,38;
03.07.2020;2.813,16;2.813,15;2.817,24;2.811,13;-;0,00;
02.07.2020;2.813,15;2.816,04;2.823,17;2.812,81;-;-0,10;
01.07.2020;2.816,04;2.806,30;2.818,84;2.806,17;-;0,35;
30.06.2020;2.806,28;2.787,24;2.806,28;2.787,24;-;0,68;
29.06.2020;2.787,24;2.790,38;2.795,71;2.786,37;-;-0,11;
26.06.2020;2.790,38;2.793,05;2.798,20;2.789,09;-;-0,10;
25.06.2020;2.793,05;2.786,81;2.793,74;2.786,81;-;0,23;
24.06.2020;2.786,72;2.793,51;2.796,36;2.783,32;-;-0,24;
23.06.2020;2.793,51;2.792,44;2.800,16;2.791,75;-;0,04;
22.06.2020;2.792,42;2.804,07;2.806,98;2.792,42;-;-0,41;
19.06.2020;2.804,01;2.794,62;2.808,14;2.794,62;-;0,33;
18.06.2020;2.794,67;2.789,07;2.799,74;2.789,07;-;0,20;
17.06.2020;2.789,07;2.783,50;2.792,10;2.783,50;-;0,20;
16.06.2020;2.783,49;2.777,82;2.793,78;2.777,82;-;0,20;
15.06.2020;2.777,82;2.782,02;2.783,03;2.752,29;-;-0,15;
12.06.2020;2.782,02;2.799,33;2.799,33;2.750,29;-;-0,62;
10.06.2020;2.799,38;2.792,45;2.804,66;2.792,45;-;0,25;
09.06.2020;2.792,45;2.793,48;2.799,52;2.792,20;-;-0,04;
08.06.2020;2.793,52;2.772,83;2.800,78;2.772,83;-;0,75;
05.06.2020;2.772,83;2.744,66;2.774,15;2.744,66;-;1,02;
04.06.2020;2.744,80;2.730,48;2.745,75;2.730,48;-;0,53;
03.06.2020;2.730,43;2.704,72;2.732,16;2.704,72;-;0,95;
02.06.2020;2.704,72;2.676,23;2.708,94;2.676,23;-;1,06;
01.06.2020;2.676,23;2.657,77;2.677,16;2.657,58;-;0,70;
29.05.2020;2.657,68;2.640,53;2.658,83;2.640,53;-;0,66;
28.05.2020;2.640,32;2.627,95;2.641,95;2.627,95;-;0,47;
27.05.2020;2.627,96;2.615,54;2.632,30;2.615,54;-;0,47;
26.05.2020;2.615,54;2.604,40;2.619,19;2.602,78;-;0,43;
25.05.2020;2.604,32;2.588,11;2.608,03;2.588,11;-;0,63;
22.05.2020;2.588,10;2.575,66;2.588,92;2.572,89;-;0,48;
21.05.2020;2.575,66;2.569,91;2.576,90;2.569,91;-;0,22;
20.05.2020;2.569,90;2.567,44;2.574,84;2.567,44;-;0,10;
19.05.2020;2.567,31;2.563,83;2.574,99;2.563,83;-;0,14;
18.05.2020;2.563,83;2.563,29;2.577,10;2.560,05;-;0,02;
15.05.2020;2.563,30;2.548,17;2.565,96;2.548,17;-;0,60;
14.05.2020;2.548,03;2.558,78;2.558,78;2.533,78;-;-0,41;
13.05.2020;2.558,59;2.581,22;2.587,68;2.554,76;-;-0,88;
12.05.2020;2.581,18;2.588,00;2.594,65;2.580,82;-;-0,27;
11.05.2020;2.588,09;2.582,78;2.592,00;2.582,78;-;0,21;
08.05.2020;2.582,78;2.580,00;2.591,58;2.580,00;-;0,11;
07.05.2020;2.579,97;2.586,36;2.601,29;2.579,68;-;-0,25;
