Data;Ultimo;Abertura;Max;Min;Vol;Var(%);
31.07.2020;3.836,89;3.889,74;3.909,35;3.823,78;-;-1,36;
30.07.2020;3.889,67;3.876,78;3.889,67;3.832,95;-;0,33;
29.07.2020;3.876,78;3.831,64;3.878,90;3.831,64;-;1,18;
28.07.2020;3.831,64;3.835,85;3.843,78;3.801,12;-;-0,11;
27.07.2020;3.835,85;3.788,31;3.859,32;3.788,31;-;1,25;
24.07.2020;3.788,32;3.801,13;3.801,13;3.727,48;-;-0,34;
23.07.2020;3.801,13;3.880,48;3.911,39;3.792,31;-;-2,05;
22.07.2020;3.880,49;3.867,11;3.904,70;3.838,40;-;0,35;
21.07.2020;3.867,12;3.902,51;3.937,35;3.840,32;-;-0,91;
20.07.2020;3.902,50;3.827,15;3.902,50;3.825,89;-;2,04;
17.07.2020;3.824,57;3.720,60;3.827,62;3.720,60;-;2,79;
16.07.2020;3.720,58;3.754,65;3.754,65;3.697,94;-;-0,91;
15.07.2020;3.754,63;3.712,24;3.764,31;3.712,24;-;1,15;
14.07.2020;3.712,02;3.651,38;3.717,42;3.632,86;-;1,66;
13.07.2020;3.651,34;3.688,59;3.729,53;3.651,34;-;-1,01;
10.07.2020;3.688,59;3.658,16;3.691,05;3.651,99;-;0,83;
09.07.2020;3.658,16;3.679,08;3.690,08;3.647,86;-;-0,57;
08.07.2020;3.678,95;3.610,61;3.682,93;3.610,61;-;1,90;
07.07.2020;3.610,40;3.624,43;3.638,91;3.588,59;-;-0,39;
06.07.2020;3.624,38;3.571,49;3.644,87;3.571,49;-;1,48;
03.07.2020;3.571,49;3.539,20;3.571,72;3.527,85;-;0,92;
02.07.2020;3.539,09;3.550,27;3.601,38;3.531,33;-;-0,31;
01.07.2020;3.550,27;3.506,62;3.558,24;3.506,62;-;1,25;
30.06.2020;3.506,50;3.503,97;3.539,77;3.474,35;-;0,06;
29.06.2020;3.504,40;3.450,02;3.504,40;3.435,40;-;1,58;
26.06.2020;3.449,89;3.523,83;3.526,54;3.436,72;-;-2,10;
25.06.2020;3.524,06;3.469,71;3.533,41;3.455,46;-;1,57;
24.06.2020;3.469,45;3.506,55;3.516,27;3.420,98;-;-1,06;
23.06.2020;3.506,55;3.479,43;3.546,87;3.479,43;-;0,78;
22.06.2020;3.479,27;3.506,47;3.523,12;3.463,98;-;-0,77;
19.06.2020;3.506,41;3.485,01;3.533,77;3.485,01;-;0,63;
18.06.2020;3.484,32;3.479,97;3.522,19;3.445,07;-;0,13;
17.06.2020;3.479,97;3.391,48;3.506,19;3.391,48;-;2,61;
16.06.2020;3.391,49;3.380,92;3.475,58;3.374,83;-;0,32;
15.06.2020;3.380,77;3.376,25;3.401,05;3.289,46;-;0,13;
12.06.2020;3.376,40;3.440,62;3.440,62;3.300,66;-;-1,87;
