Data;Ultimo;Abertura;Max;Min;Vol;Var(%);
31.07.2020;8.448,01;8.417,40;8.516,62;8.386,94;-;0,38;
30.07.2020;8.416,10;8.341,95;8.416,91;8.304,17;-;0,85;
29.07.2020;8.344,93;8.350,26;8.382,05;8.291,80;-;-0,07;
28.07.2020;8.350,41;8.413,70;8.427,51;8.335,67;-;-0,75;
27.07.2020;8.413,50;8.302,41;8.454,57;8.282,87;-;1,32;
24.07.2020;8.303,64;8.317,84;8.317,84;8.150,94;-;-0,17;
23.07.2020;8.317,84;8.398,36;8.441,68;8.271,02;-;-0,96;
22.07.2020;8.398,36;8.268,79;8.409,81;8.251,02;-;1,57;
21.07.2020;8.268,20;8.355,65;8.404,56;8.217,65;-;-1,05;
20.07.2020;8.355,65;8.334,23;8.395,70;8.270,09;-;0,25;
17.07.2020;8.334,71;8.062,73;8.341,15;8.062,73;-;3,38;
16.07.2020;8.062,11;8.128,81;8.144,69;8.043,83;-;-0,82;
15.07.2020;8.128,45;7.935,09;8.145,01;7.935,09;-;2,44;
14.07.2020;7.934,50;7.949,24;8.012,82;7.881,74;-;-0,19;
13.07.2020;7.949,62;8.041,50;8.092,49;7.949,62;-;-1,14;
10.07.2020;8.041,31;8.041,98;8.078,82;7.958,20;-;-0,01;
09.07.2020;8.041,98;8.028,50;8.124,28;8.006,92;-;0,19;
08.07.2020;8.026,69;7.948,11;8.064,38;7.948,11;-;0,99;
07.07.2020;7.947,73;7.998,73;8.006,76;7.925,09;-;-0,64;
06.07.2020;7.998,73;7.951,19;8.057,75;7.930,33;-;0,62;
03.07.2020;7.949,78;7.841,07;7.949,90;7.829,62;-;1,39;
02.07.2020;7.841,07;7.898,45;7.994,87;7.829,87;-;-0,73;
01.07.2020;7.898,45;7.768,91;7.933,63;7.768,07;-;1,69;
30.06.2020;7.767,21;7.702,39;7.810,98;7.636,34;-;0,82;
29.06.2020;7.704,37;7.561,71;7.705,25;7.557,18;-;1,88;
26.06.2020;7.561,94;7.738,07;7.738,07;7.517,87;-;-2,31;
25.06.2020;7.741,13;7.655,96;7.741,13;7.601,96;-;1,13;
24.06.2020;7.654,82;7.721,30;7.735,04;7.536,42;-;-0,87;
23.06.2020;7.722,10;7.829,73;7.926,82;7.701,20;-;-1,35;
22.06.2020;7.827,49;7.756,14;7.918,34;7.755,05;-;0,93;
19.06.2020;7.755,60;7.697,35;7.857,41;7.697,35;-;0,81;
18.06.2020;7.693,17;7.755,38;7.768,00;7.661,94;-;-0,85;
17.06.2020;7.758,86;7.485,58;7.822,82;7.485,58;-;3,67;
16.06.2020;7.484,26;7.485,66;7.671,89;7.479,44;-;-0,01;
15.06.2020;7.485,01;7.526,14;7.568,61;7.289,52;-;-0,58;
12.06.2020;7.528,53;7.599,05;7.599,05;7.304,51;-;-0,98;
10.06.2020;7.602,70;7.754,82;7.817,08;7.561,40;-;-1,91;
09.06.2020;7.750,75;7.741,60;7.788,06;7.558,06;-;0,11;
08.06.2020;7.742,29;7.434,68;7.755,15;7.434,68;-;4,14;
05.06.2020;7.434,36;7.442,50;7.643,55;7.434,36;-;-0,00;
04.06.2020;7.434,55;7.490,86;7.532,56;7.378,22;-;-0,73;
03.06.2020;7.489,36;7.414,11;7.607,73;7.355,50;-;1,06;
02.06.2020;7.410,97;7.324,11;7.410,97;7.323,05;-;1,21;
01.06.2020;7.322,30;7.316,44;7.376,15;7.257,04;-;0,07;
29.05.2020;7.317,44;7.294,38;7.387,44;7.187,77;-;0,31;
28.05.2020;7.294,69;7.332,03;7.354,28;7.219,07;-;-0,49;
27.05.2020;7.330,80;7.071,98;7.359,34;7.071,98;-;3,64;
26.05.2020;7.073,04;7.049,28;7.196,07;7.036,10;-;0,38;
25.05.2020;7.046,25;6.654,31;7.066,91;6.654,31;-;5,93;
22.05.2020;6.651,67;6.538,49;6.651,67;6.444,75;-;1,73;
21.05.2020;6.538,49;6.335,80;6.559,89;6.320,92;-;3,20;
20.05.2020;6.335,58;6.382,31;6.456,66;6.311,70;-;-0,75;
19.05.2020;6.383,76;6.498,24;6.531,17;6.371,76;-;-1,76;
18.05.2020;6.498,44;6.210,02;6.524,41;6.210,02;-;4,71;
15.05.2020;6.205,90;6.258,15;6.293,35;6.088,21;-;-0,81;
14.05.2020;6.256,65;6.008,71;6.256,65;5.846,17;-;4,02;
13.05.2020;6.015,01;6.105,91;6.163,13;5.948,65;-;-1,48;
12.05.2020;6.105,53;6.273,10;6.398,99;6.103,06;-;-2,67;
11.05.2020;6.272,96;6.315,00;6.377,76;6.186,30;-;-0,67;
08.05.2020;6.315,59;6.119,24;6.315,59;6.119,24;-;3,30;
07.05.2020;6.114,00;6.378,15;6.410,38;6.114,00;-;-4,14;
06.05.2020;6.378,09;6.517,27;6.534,11;6.331,59;-;-2,12;
05.05.2020;6.516,01;6.423,31;6.607,84;6.423,31;-;1,45;
04.05.2020;6.423,05;6.547,60;6.547,92;6.293,50;-;-1,94;
30.04.2020;6.549,87;6.708,29;6.708,32;6.494,62;-;-2,40;
